Item #,Qty.,Ref Des,Manufacturer,Mfg. Part #,Distributor,Dist. Part #,Description,Package,Note,Type,Price @ 1,Price @ 50,Price @ 100
31,4,"OPAMP_A, OPAMP_B, OPAMP_C, OPAMP_D",TI,OPA4170AIDR,DigiKey,296-29664-1-ND,IC OPAMP GP RRO 1.2MHZ 14SOIC,14-TSSOP,,smt,10.32,4.374,4.29296
32,6,"LS_CLK, LS_OUT, LS_DAC, LS_IN, LS_ADC, LS_LED",TI,SN74LVC4245APWR,DigiKey,296-12183-1-ND,IC BUS TRANSCEIVER 8BIT 24TSSOP,24-TSSOP,,smt,5.46,4.3728,4.3728
33,1,LS_I2C,TI,TCA9406DCUR,DigiKey,296-28109-1-ND,IC V-LEVEL XLATR I2C/SMBUS 8US,8-VSFOP,,smt,1.37,1.0944,0.9576
34,1,J1,CUI,SJ-3523-SMT-TR,DigiKey,CP-3523SJCT-ND,CONN AUDIO JACK 3.5MM STEREO SMD,SMT,,smt,1.34,1.043,0.7961
35,1,BNC,TE Connectivity,1-1634622-0,DigiKey,A97562-ND,CONN SOCKET BNC R/A 75 OHM PCB,THRU-HOLE,,thru-hole,2.53,2.121,2.02
36,1,J2,CUI,PJ-102AH,DigiKey,CP-102AH-ND,CONN PWR JACK 2.1X5.5MM HIGH CUR,THRU-HOLE,,thru-hole,1.01,0.704,0.4724
37,13,"JP_AIN_1, JP_AIN_2, JP_AIN_3, JP_AIN_4, JP_AIN_5, JP_AIN_6, JP_AIN_7, JP_AIN_8, 5V_FAN, JP_LEDS, JP_LEDS1, JP_LEDS2, JP_LEDS3",TE Connectivity,3-644456-3,DigiKey,A31113-ND,CONN HEADER VERT 3POS .100 TIN,THRU-HOLE,,thru-hole,3.38,1.95728,1.87226
38,4,"TTL_IN, TTL_OUT, ADC_IN, DAC_OUT",FCI,10029449-111RLF,DigiKey,609-4614-1-ND,HDMI connectors,SMT,,smt,2.92,2.108,2.108
39,1,GND_CONN,On Shore,ED555/2DS,DigiKey,ED1514-ND,TERMINAL BLOCK 3.5MM 2POS PCB,THRU-HOLE,,thru-hole,0.63,0.47,0.45
40,1,D1,ON Semiconductor,MBRA210LT3G,DigiKey,MBRA210ET3GOSCT-ND,DIODE SCHOTTKY 10V 2A SMA,DO-214AC,,smt,0.58,0.43,0.3686
41,4,"A, B, C, D",Omnetics,A79623-001,Omnetics,A79623-001,12-channel connector,SMT,,smt,65.44,54.56,54.56
42,2,BRD1,Samtec,BTE-040-01-F-D-A,Samtec,BTE-040-01-F-D-A,XEM6010 connector,SMT,,smt,7.6,7.6,7.6
43,1,POLYFUSE,Bel Fuse Inc.,0ZCC0075AF2B,Digikey,507-1499-1-ND,"Polyfuse, 750mA hold currnet 33Vmax",1812 (4532 Metric),,smt,0.22,0.201,0.1664
44,1,ZENER,TI,TPD1E10B06DPYR,Digikey,296-30406-1-ND,TVS DIODE 5.5VWM 14VC 2X2SON,2-XDFN,,smt,0.44,0.245,0.185


,,,Total line items:,44,,,,,,,,,
,,,Total SMT:,276
,,,Total thru-hole:,7
